filename,width,height,class,xmin,ymin,xmax,ymax
KL409D~1.JPG,2000,1500,plastic,1668,248,1703,278
KLCE4D~1.JPG,2000,1500,plastic,835,1212,867,1283
KL4D2C~1.JPG,2000,1500,plastic,939,1184,1023,1246
KL4D2C~1.JPG,2000,1500,plastic,532,723,592,803
KL4D2C~1.JPG,2000,1500,plastic,1137,1,1359,100
KL4D2C~1.JPG,2000,1500,plastic,868,17,890,58
KL4D2C~1.JPG,2000,1500,plastic,290,883,313,919
KL4D2C~1.JPG,2000,1500,plastic,1705,1365,1818,1454
KLBF9A~1.JPG,2000,1500,plastic,125,18,163,60
KL2019~1.JPG,2000,1500,plastic,1217,756,1242,785
KL2019~1.JPG,2000,1500,plastic,1072,265,1095,285
KL926A~1.JPG,2000,1500,plastic,1850,69,1876,97
KL926A~1.JPG,2000,1500,plastic,1833,133,1861,158
KL9FF0~1.JPG,2000,1500,plastic,1704,613,1792,710
KL9FF0~1.JPG,2000,1500,plastic,1340,431,1399,479
KL9FF0~1.JPG,2000,1500,plastic,541,1319,579,1345
KL9FF0~1.JPG,2000,1500,plastic,774,1443,810,1481
KLF8AA~1.JPG,2000,1500,plastic,1188,404,1277,479
KLF8AA~1.JPG,2000,1500,plastic,1031,353,1041,372
KLF8AA~1.JPG,2000,1500,plastic,1668,1252,1691,1282
KLF8AA~1.JPG,2000,1500,plastic,358,1267,393,1316
KL1152~1.JPG,2000,1500,plastic,148,1,193,56
KL1152~1.JPG,2000,1500,plastic,1614,859,1655,895
KL1152~1.JPG,2000,1500,plastic,1789,708,1828,762
KL1152~1.JPG,2000,1500,plastic,1721,918,1750,954
KL40BA~1.JPG,2000,1500,plastic,1810,902,1845,938
KL40BA~1.JPG,2000,1500,plastic,1921,631,1938,657
KLAC61~1.JPG,2000,1500,plastic,1065,22,1328,162
KLAC61~1.JPG,2000,1500,plastic,848,85,879,127
KLAC61~1.JPG,2000,1500,plastic,925,1213,996,1268
KLAC61~1.JPG,2000,1500,plastic,529,767,566,807
KLAC61~1.JPG,2000,1500,plastic,542,801,570,843
KLAC61~1.JPG,2000,1500,plastic,295,921,313,951
KLAC61~1.JPG,2000,1500,plastic,706,1036,801,1076
KLAC61~1.JPG,2000,1500,plastic,1621,1387,1769,1499
KLAC61~1.JPG,2000,1500,plastic,845,720,890,748
KLDBF7~1.JPG,2000,1500,plastic,1465,940,1510,992
KLDBF7~1.JPG,2000,1500,plastic,802,669,832,697
KLDBF7~1.JPG,2000,1500,plastic,435,1043,542,1104
KLDBF7~1.JPG,2000,1500,plastic,747,1346,777,1372
KLDBF7~1.JPG,2000,1500,plastic,738,1442,770,1468
KLDBF7~1.JPG,2000,1500,plastic,1497,982,1572,1025
KLDBF7~1.JPG,2000,1500,plastic,1354,810,1380,861
KLBFBF~1.JPG,2000,1500,plastic,572,1003,663,1112
KLBFBF~1.JPG,2000,1500,plastic,255,1136,377,1352
KLBFBF~1.JPG,2000,1500,plastic,199,1124,264,1198
KLBFBF~1.JPG,2000,1500,plastic,131,1165,170,1287
KLBFBF~1.JPG,2000,1500,plastic,424,615,482,703
KLBFBF~1.JPG,2000,1500,plastic,1456,1004,1513,1045
KL7989~1.JPG,2000,1500,plastic,821,788,917,833
KL7989~1.JPG,2000,1500,plastic,1768,456,1862,563
KL7989~1.JPG,2000,1500,plastic,1377,338,1421,379
KL7989~1.JPG,2000,1500,plastic,1468,102,1489,123
KLE879~1.JPG,2000,1500,plastic,643,344,661,365
KLD6BF~1.JPG,2000,1500,plastic,1002,272,1121,384
KLD6BF~1.JPG,2000,1500,plastic,561,681,676,772
KLD6BF~1.JPG,2000,1500,plastic,706,1166,960,1410
